"pay_basis","title","fiscal_year","n","median_rate","real_median_rate","median_hours","median_gross","real_median_gross","pct_substantial","suppressed"
"per Day","COMPOSITOR",2020,3,,,,,,,TRUE
"per Day","COMPOSITOR",2021,3,,,,,,,TRUE
"per Day","COMPOSITOR",2022,4,,,,,,,TRUE
"per Day","COMPOSITOR",2023,4,,,,,,,TRUE
"per Day","CONSTRUCTION LABORER",2014,354,296.56,390.048576571008,2085.72,77105.6,101412.629908462,0.977401129943503,FALSE
"per Day","CONSTRUCTION LABORER",2015,326,296.56,388.168691305753,2085.72,77105.6,100923.859739496,0.984662576687117,FALSE
"per Day","CONSTRUCTION LABORER",2016,313,296.56,385.940397020989,2091.42,77105.6,100344.503225457,0.990415335463259,FALSE
"per Day","CONSTRUCTION LABORER",2017,307,328,419.457759537048,2085.72,80071.2,102397.823644643,0.980456026058632,FALSE
"per Day","CONSTRUCTION LABORER",2018,306,328,412.132446013318,2045.72,116882.105,146862.523868401,0.986928104575163,FALSE
"per Day","CONSTRUCTION LABORER",2019,311,342.08,422.336947690582,2085.72,90278.97,111459.730561417,0.990353697749196,FALSE
"per Day","CONSTRUCTION LABORER",2020,338,352.32,427.422217117582,2080,91091.21,110508.648212203,0.997041420118343,FALSE
"per Day","CONSTRUCTION LABORER",2021,343,352.32,418.778771849946,2080,91603.2,108882.480680986,0.988338192419825,FALSE
"per Day","CONSTRUCTION LABORER",2022,311,352.32,398.656497483762,2080,91603.2,103650.689345778,0.993569131832797,FALSE
"per Day","CONSTRUCTION LABORER",2023,276,352.32,378.629564353711,2080,91603.2,98443.686731965,0.992753623188406,FALSE
"per Day","CONSTRUCTION LABORER",2024,295,396.48,411.95880803049,2080,110532.97,114848.240943477,0.996610169491525,FALSE
"per Day","CONSTRUCTION LABORER",2025,336,409.36,409.36,2080,103793.21,103793.21,0.994047619047619,FALSE
"per Day","CONTINUING EDUCATION TEACHER",2014,266,40.19,52.8596314148531,75.355,3434.135,4516.72332243957,0,FALSE
"per Day","CONTINUING EDUCATION TEACHER",2015,17,,,,,,,TRUE
"per Day","CONTINUING EDUCATION TEACHER",2016,19,,,,,,,TRUE
"per Day","CONTINUING EDUCATION TEACHER",2017,7,,,,,,,TRUE
"per Day","CONTINUING EDUCATION TEACHER",2018,5,,,,,,,TRUE
"per Day","CONTINUING EDUCATION TEACHER",2019,6,,,,,,,TRUE
"per Day","CONTINUING EDUCATION TEACHER",2021,5,,,,,,,TRUE
"per Day","CONTINUING EDUCATION TEACHER",2022,6,,,,,,,TRUE
"per Day","CONTINUING EDUCATION TEACHER",2023,4,,,,,,,TRUE
"per Day","CONTINUING EDUCATION TEACHER",2024,5,,,,,,,TRUE
"per Day","CONTINUING EDUCATION TEACHER",2025,6,,,,,,,TRUE
"per Day","CRANE OPERATOR AMPES",2014,6,,,,,,,TRUE
"per Day","CRANE OPERATOR AMPES",2015,6,,,,,,,TRUE
"per Day","CRANE OPERATOR AMPES",2016,7,,,,,,,TRUE
"per Day","CRANE OPERATOR AMPES",2017,7,,,,,,,TRUE
"per Day","DOCKBUILDER",2014,10,,,,,,,TRUE
"per Day","DOCKBUILDER",2015,10,,,,,,,TRUE
"per Day","DOCKBUILDER",2016,9,,,,,,,TRUE
"per Day","DOCKBUILDER",2017,7,,,,,,,TRUE
"per Day","DOCKBUILDER",2018,6,,,,,,,TRUE
"per Day","DOCKBUILDER",2019,8,,,,,,,TRUE
"per Day","DOCKBUILDER",2020,13,,,,,,,TRUE
"per Day","DOCKBUILDER",2021,13,,,,,,,TRUE
