"agency","fiscal_year","n","n_common","n_uncommon","common_mean","uncommon_mean","common_median","uncommon_median","gap","gap_dollars","uncommon_share","suppressed"
"BOROUGH PRESIDENT-QUEENS",2022,64,55,9,,,,,,,0.140625,TRUE
"BOROUGH PRESIDENT-QUEENS",2023,61,50,11,,,,,,,0.180327868852459,TRUE
"BOROUGH PRESIDENT-QUEENS",2024,61,51,10,,,,,,,0.163934426229508,TRUE
"BOROUGH PRESIDENT-QUEENS",2025,63,52,11,,,,,,,0.174603174603175,TRUE
"BOROUGH PRESIDENT-STATEN IS",2014,36,36,0,,,,,,,0,TRUE
"BOROUGH PRESIDENT-STATEN IS",2015,36,35,1,,,,,,,0.0277777777777778,TRUE
"BOROUGH PRESIDENT-STATEN IS",2016,37,36,1,,,,,,,0.027027027027027,TRUE
"BOROUGH PRESIDENT-STATEN IS",2017,41,40,1,,,,,,,0.024390243902439,TRUE
"BOROUGH PRESIDENT-STATEN IS",2018,40,39,1,,,,,,,0.025,TRUE
"BOROUGH PRESIDENT-STATEN IS",2019,36,34,2,,,,,,,0.0555555555555556,TRUE
"BOROUGH PRESIDENT-STATEN IS",2020,36,34,2,,,,,,,0.0555555555555556,TRUE
"BOROUGH PRESIDENT-STATEN IS",2021,33,32,1,,,,,,,0.0303030303030303,TRUE
"BOROUGH PRESIDENT-STATEN IS",2022,29,27,2,,,,,,,0.0689655172413793,TRUE
"BOROUGH PRESIDENT-STATEN IS",2023,27,25,2,,,,,,,0.0740740740740741,TRUE
"BOROUGH PRESIDENT-STATEN IS",2024,28,26,2,,,,,,,0.0714285714285714,TRUE
"BOROUGH PRESIDENT-STATEN IS",2025,27,25,2,,,,,,,0.0740740740740741,TRUE
"BRONX COMMUNITY BOARD #1",2014,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #1",2015,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #1",2016,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #1",2017,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #1",2018,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #1",2019,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #1",2020,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #1",2021,1,1,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #1",2022,1,1,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #1",2023,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #1",2024,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #1",2025,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #10",2014,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #10",2015,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #10",2016,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #10",2017,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #10",2018,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #10",2019,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #10",2020,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #10",2021,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #10",2022,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #10",2023,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #10",2024,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #10",2025,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #11",2014,1,1,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #11",2015,1,1,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #11",2016,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #11",2017,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #11",2018,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #11",2019,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #11",2020,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #11",2021,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #11",2022,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #11",2023,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #11",2024,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #11",2025,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #12",2014,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #12",2015,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #12",2016,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #12",2017,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #12",2018,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #12",2019,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #12",2020,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #12",2021,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #12",2022,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #12",2023,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #12",2024,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #12",2025,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #2",2014,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #2",2015,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #2",2016,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #2",2017,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #2",2018,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #2",2019,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #2",2020,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #2",2021,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #2",2022,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #2",2023,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #2",2024,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #2",2025,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #3",2014,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #3",2015,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #3",2016,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #3",2017,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #3",2018,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #3",2019,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #3",2020,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #3",2021,1,1,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #3",2022,1,1,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #3",2023,1,1,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #3",2024,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #3",2025,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #4",2014,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #4",2015,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #4",2016,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #4",2017,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #4",2018,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #4",2019,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #4",2020,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #4",2021,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #4",2022,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #4",2023,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #4",2024,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #4",2025,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #5",2014,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #5",2015,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #5",2016,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #5",2017,1,1,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #5",2018,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #5",2019,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #5",2020,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #5",2021,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #5",2022,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #5",2023,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #5",2024,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #5",2025,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #6",2014,2,1,1,,,,,,,0.5,TRUE
"BRONX COMMUNITY BOARD #6",2015,2,1,1,,,,,,,0.5,TRUE
"BRONX COMMUNITY BOARD #6",2016,2,1,1,,,,,,,0.5,TRUE
"BRONX COMMUNITY BOARD #6",2017,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #6",2018,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #6",2019,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #6",2020,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #6",2021,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #6",2022,1,1,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #6",2023,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #6",2024,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #6",2025,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #7",2014,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #7",2015,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #7",2016,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #7",2017,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #7",2018,3,2,1,,,,,,,0.333333333333333,TRUE
"BRONX COMMUNITY BOARD #7",2019,3,2,1,,,,,,,0.333333333333333,TRUE
"BRONX COMMUNITY BOARD #7",2020,3,2,1,,,,,,,0.333333333333333,TRUE
"BRONX COMMUNITY BOARD #7",2021,3,1,2,,,,,,,0.666666666666667,TRUE
"BRONX COMMUNITY BOARD #7",2022,3,2,1,,,,,,,0.333333333333333,TRUE
"BRONX COMMUNITY BOARD #7",2023,1,1,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #7",2024,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #7",2025,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #8",2014,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #8",2015,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #8",2016,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #8",2017,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #8",2018,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #8",2019,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #8",2020,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #8",2021,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #8",2022,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #8",2023,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #8",2024,2,1,1,,,,,,,0.5,TRUE
"BRONX COMMUNITY BOARD #8",2025,2,1,1,,,,,,,0.5,TRUE
"BRONX COMMUNITY BOARD #9",2014,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #9",2015,1,1,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #9",2016,2,2,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #9",2017,1,1,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #9",2018,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #9",2019,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #9",2020,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #9",2021,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #9",2022,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #9",2023,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #9",2024,3,3,0,,,,,,,0,TRUE
"BRONX COMMUNITY BOARD #9",2025,3,3,0,,,,,,,0,TRUE
"BRONX DA",2014,808,727,81,60155.9215955984,53493.0864197531,58500,54569,0.110759423164299,6662.83517584527,0.100247524752475,FALSE
"BRONX DISTRICT ATTORNEY",2015,826,740,86,64710.5824324324,53817.3255813953,63300,54569,0.168338105477744,10893.2568510371,0.104116222760291,FALSE
"BRONX DISTRICT ATTORNEY",2016,840,754,86,64779.9297082228,56591.7441860465,63300,57920,0.126400037157449,8188.1855221763,0.102380952380952,FALSE
"BRONX DISTRICT ATTORNEY",2017,1003,884,119,66153.1470588235,54128.6050420168,61200,52664,0.181768253687379,12024.5420168067,0.11864406779661,FALSE
"BRONX DISTRICT ATTORNEY",2018,999,881,118,66556.0851305335,57335.7542372881,63300,55060,0.138534754187569,9220.33089324538,0.118118118118118,FALSE
"BRONX DISTRICT ATTORNEY",2019,1050,930,120,72038.7032258065,61304.925,72000,57824,0.149000158875172,10733.7782258065,0.114285714285714,FALSE
"BRONX DISTRICT ATTORNEY",2020,1038,916,122,74158.3449781656,65523.1639344262,72700,64936,0.116442472472678,8635.18104373942,0.117533718689788,FALSE
"BRONX DISTRICT ATTORNEY",2021,1033,905,128,76647.0475138121,65945.15625,74000,58912,0.139625616523371,10701.8912638121,0.123910939012585,FALSE
"BRONX DISTRICT ATTORNEY",2022,959,820,139,84750.7243902439,71560.9712230216,75121,62272,0.15562997557978,13189.7531672223,0.144942648592284,FALSE
"BRONX DISTRICT ATTORNEY",2023,990,843,147,90118.5397390273,76619.7142857143,74416,66950,0.149789660289703,13498.825453313,0.148484848484848,FALSE
"BRONX DISTRICT ATTORNEY",2024,1019,878,141,97363.2129840543,81324.560283688,80001.5,70022,0.164730109132626,16038.6527003664,0.138370951913641,FALSE
"BRONX DISTRICT ATTORNEY",2025,1149,998,151,100226.094188377,82035.6887417218,85000,72275,0.181493707741077,18190.4054466549,0.13141862489121,FALSE
"BROOKLYN COMMUNITY BOARD #1",2014,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #1",2015,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #1",2016,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #1",2017,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #1",2018,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #1",2019,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #1",2020,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #1",2021,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #1",2022,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #1",2023,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #1",2024,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #1",2025,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #10",2014,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #10",2015,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #10",2016,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #10",2017,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #10",2018,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #10",2019,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #10",2020,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #10",2021,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #10",2022,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #10",2023,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #10",2024,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #10",2025,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #11",2014,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #11",2015,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #11",2016,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #11",2017,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #11",2018,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #11",2019,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #11",2020,1,1,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #11",2021,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #11",2022,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #11",2023,2,2,0,,,,,,,0,TRUE
