"agency","fiscal_year","n","median_base","median_total_comp","real_median_total","total_ot_paid","mean_ot_paid","median_ot_hours","ot_share_of_pay","pct_with_ot","suppressed"
"PUBLIC ADMINISTRATOR-BRONX",2016,8,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-BRONX",2017,7,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-BRONX",2018,6,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-BRONX",2019,7,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-BRONX",2020,8,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-BRONX",2021,7,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-BRONX",2022,7,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-BRONX",2023,8,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-BRONX",2024,7,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-BRONX",2025,9,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-KINGS",2014,9,,,,71.04,,,,,TRUE
"PUBLIC ADMINISTRATOR-KINGS",2015,10,,,,229.53,,,,,TRUE
"PUBLIC ADMINISTRATOR-KINGS",2016,11,,,,457.14,,,,,TRUE
"PUBLIC ADMINISTRATOR-KINGS",2017,12,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-KINGS",2018,13,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-KINGS",2019,12,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-KINGS",2020,12,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-KINGS",2021,11,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-KINGS",2022,12,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-KINGS",2023,11,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-KINGS",2024,12,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-KINGS",2025,15,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-NEW YORK",2014,11,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-NEW YORK",2015,9,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-NEW YORK",2016,10,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-NEW YORK",2017,10,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-NEW YORK",2018,10,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-NEW YORK",2019,11,,,,2799.19,,,,,TRUE
"PUBLIC ADMINISTRATOR-NEW YORK",2020,10,,,,6088.04,,,,,TRUE
"PUBLIC ADMINISTRATOR-NEW YORK",2021,10,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-NEW YORK",2022,10,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-NEW YORK",2023,12,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-NEW YORK",2024,12,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-NEW YORK",2025,12,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-QUEENS",2014,7,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-QUEENS",2015,8,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-QUEENS",2016,7,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-QUEENS",2017,8,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-QUEENS",2018,8,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-QUEENS",2019,8,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-QUEENS",2020,8,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-QUEENS",2021,8,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-QUEENS",2022,7,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-QUEENS",2023,7,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-QUEENS",2024,7,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-QUEENS",2025,7,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-RICHMOND",2014,5,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-RICHMOND",2015,5,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-RICHMOND",2016,5,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-RICHMOND",2017,5,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-RICHMOND",2018,5,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-RICHMOND",2019,5,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-RICHMOND",2020,5,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-RICHMOND",2021,5,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-RICHMOND",2022,5,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-RICHMOND",2023,5,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-RICHMOND",2024,5,,,,0,,,,,TRUE
"PUBLIC ADMINISTRATOR-RICHMOND",2025,5,,,,0,,,,,TRUE
"PUBLIC ADVOCATE",2014,24,,,,0,,,,,TRUE
"PUBLIC ADVOCATE",2015,41,58000,37323.34,48852.6842560011,0,0,0,0,0,FALSE
"PUBLIC ADVOCATE",2016,39,60600,59959.02,78030.1051517042,0,0,0,0,0,FALSE
"PUBLIC ADVOCATE",2017,44,65375,58987.535,75435.3026576623,0,0,0,0,0,FALSE
"PUBLIC ADVOCATE",2018,37,65750,65353.76,82117.0883078273,0,0,0,0,0,FALSE
"PUBLIC ADVOCATE",2019,21,,,,0,,,,,TRUE
"PUBLIC ADVOCATE",2020,57,55000,51148.88,62052.020017828,0,0,0,0,0,FALSE
"PUBLIC ADVOCATE",2021,49,60000,55420.56,65874.6425182682,0,0,0,0,0,FALSE
"PUBLIC ADVOCATE",2022,46,62500,63319.33,71646.975252096,0,0,0,0,0,FALSE
"PUBLIC ADVOCATE",2023,51,60000,68424.61,73534.2310268296,0,0,0,0,0,FALSE
"PUBLIC ADVOCATE",2024,51,69525,64286.79,66796.5833850545,0,0,0,0,0,FALSE
"PUBLIC ADVOCATE",2025,48,74280.5,76692.755,76692.755,0,0,0,0,0,FALSE
"QUEENS COMMUNITY BOARD #1",2014,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #1",2015,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #1",2016,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #1",2017,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #1",2018,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #1",2019,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #1",2020,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #1",2021,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #1",2022,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #1",2023,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #1",2024,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #1",2025,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #10",2014,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #10",2015,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #10",2016,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #10",2017,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #10",2018,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #10",2019,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #10",2020,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #10",2021,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #10",2022,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #10",2023,1,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #10",2024,1,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #10",2025,1,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #11",2014,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #11",2015,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #11",2016,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #11",2017,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #11",2018,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #11",2019,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #11",2020,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #11",2021,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #11",2022,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #11",2023,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #11",2024,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #11",2025,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #12",2014,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #12",2015,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #12",2016,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #12",2017,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #12",2018,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #12",2019,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #12",2020,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #12",2021,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #12",2022,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #12",2023,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #12",2024,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #13",2014,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #13",2015,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #13",2016,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #13",2017,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #13",2018,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #13",2019,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #13",2020,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #13",2021,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #13",2022,1,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #13",2023,1,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #13",2024,1,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #13",2025,1,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #14",2014,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #14",2015,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #14",2016,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #14",2017,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #14",2018,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #14",2019,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #14",2020,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #14",2021,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #14",2022,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #14",2023,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #14",2024,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #14",2025,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #2",2014,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #2",2015,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #2",2016,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #2",2017,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #2",2018,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #2",2019,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #2",2020,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #2",2021,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #2",2022,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #2",2023,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #2",2024,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #2",2025,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #3",2014,4,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #3",2015,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #3",2016,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #3",2017,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #3",2018,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #3",2019,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #3",2020,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #3",2021,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #3",2022,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #3",2023,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #3",2024,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #3",2025,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #4",2014,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #4",2015,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #4",2016,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #4",2017,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #4",2018,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #4",2019,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #4",2020,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #4",2021,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #4",2022,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #4",2023,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #4",2024,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #4",2025,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #5",2014,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #5",2015,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #5",2016,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #5",2017,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #5",2018,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #5",2019,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #5",2020,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #5",2021,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #5",2022,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #5",2023,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #5",2024,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #5",2025,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #6",2014,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #6",2015,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #6",2016,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #6",2017,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #6",2018,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #6",2019,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #6",2020,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #6",2021,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #6",2022,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #6",2023,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #6",2024,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #6",2025,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #7",2014,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #7",2015,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #7",2016,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #7",2017,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #7",2018,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #7",2019,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #7",2020,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #7",2021,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #7",2022,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #7",2023,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #7",2024,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #7",2025,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #8",2014,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #8",2015,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #8",2016,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #8",2017,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #8",2018,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #8",2019,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #8",2020,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #8",2021,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #8",2022,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #8",2023,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #8",2024,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #8",2025,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #9",2014,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #9",2015,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #9",2016,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #9",2017,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #9",2018,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #9",2019,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #9",2020,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #9",2021,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #9",2022,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #9",2023,2,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #9",2024,3,,,,0,,,,,TRUE
"QUEENS COMMUNITY BOARD #9",2025,3,,,,0,,,,,TRUE
"QUEENS DA",2014,601,62400,62132.13,81718.8726255221,696845.34,1159.47643926789,0,0.0164980738021409,0.264559068219634,FALSE
"RICHMOND DA",2014,98,60569,66058.435,86882.9192819614,90181.88,920.223265306123,0,0.01232270837219,0.23469387755102,FALSE
"SPEC NARCS-DA",2014,203,70000,69155.06,90955.7348114468,60887.27,299.937290640394,0,0.00391725324282755,0.12807881773399,FALSE
"STATEN ISLAND COMMUNITY BD #1",2014,3,,,,0,,,,,TRUE
"STATEN ISLAND COMMUNITY BD #1",2015,3,,,,0,,,,,TRUE
"STATEN ISLAND COMMUNITY BD #1",2016,3,,,,0,,,,,TRUE
"STATEN ISLAND COMMUNITY BD #1",2017,3,,,,0,,,,,TRUE
"STATEN ISLAND COMMUNITY BD #1",2018,3,,,,0,,,,,TRUE
"STATEN ISLAND COMMUNITY BD #1",2019,3,,,,0,,,,,TRUE
"STATEN ISLAND COMMUNITY BD #1",2020,3,,,,0,,,,,TRUE
"STATEN ISLAND COMMUNITY BD #1",2021,3,,,,0,,,,,TRUE
"STATEN ISLAND COMMUNITY BD #1",2022,2,,,,0,,,,,TRUE
"STATEN ISLAND COMMUNITY BD #1",2023,2,,,,0,,,,,TRUE
"STATEN ISLAND COMMUNITY BD #1",2024,2,,,,0,,,,,TRUE
"STATEN ISLAND COMMUNITY BD #1",2025,2,,,,0,,,,,TRUE
"STATEN ISLAND COMMUNITY BD #2",2014,1,,,,0,,,,,TRUE
"STATEN ISLAND COMMUNITY BD #2",2015,1,,,,0,,,,,TRUE
"STATEN ISLAND COMMUNITY BD #2",2016,1,,,,0,,,,,TRUE
"STATEN ISLAND COMMUNITY BD #2",2017,1,,,,0,,,,,TRUE
"STATEN ISLAND COMMUNITY BD #2",2018,1,,,,0,,,,,TRUE
"STATEN ISLAND COMMUNITY BD #2",2019,1,,,,0,,,,,TRUE
"STATEN ISLAND COMMUNITY BD #2",2020,1,,,,0,,,,,TRUE
"STATEN ISLAND COMMUNITY BD #2",2021,1,,,,0,,,,,TRUE
"STATEN ISLAND COMMUNITY BD #2",2022,1,,,,0,,,,,TRUE
"STATEN ISLAND COMMUNITY BD #2",2023,2,,,,0,,,,,TRUE
"STATEN ISLAND COMMUNITY BD #2",2024,1,,,,0,,,,,TRUE
"STATEN ISLAND COMMUNITY BD #2",2025,1,,,,0,,,,,TRUE
"STATEN ISLAND COMMUNITY BD #3",2014,3,,,,0,,,,,TRUE
"STATEN ISLAND COMMUNITY BD #3",2015,3,,,,0,,,,,TRUE
"STATEN ISLAND COMMUNITY BD #3",2016,3,,,,0,,,,,TRUE
"STATEN ISLAND COMMUNITY BD #3",2017,3,,,,0,,,,,TRUE
"STATEN ISLAND COMMUNITY BD #3",2018,3,,,,0,,,,,TRUE
"STATEN ISLAND COMMUNITY BD #3",2019,3,,,,0,,,,,TRUE
"STATEN ISLAND COMMUNITY BD #3",2020,3,,,,0,,,,,TRUE
"STATEN ISLAND COMMUNITY BD #3",2021,3,,,,0,,,,,TRUE
"STATEN ISLAND COMMUNITY BD #3",2022,3,,,,0,,,,,TRUE
"STATEN ISLAND COMMUNITY BD #3",2023,3,,,,0,,,,,TRUE
"STATEN ISLAND COMMUNITY BD #3",2024,3,,,,0,,,,,TRUE
"STATEN ISLAND COMMUNITY BD #3",2025,2,,,,0,,,,,TRUE
"TAX COMMISSION",2014,36,84500,95503.575,125610.444720099,142056.64,3946.01777777778,0,0.0406525543487442,0.472222222222222,FALSE
"TAX COMMISSION",2015,38,85098,100991.615,132188.37006813,234792.64,6178.75368421053,0,0.0638895203891116,0.5,FALSE
"TAX COMMISSION",2016,38,90575,98226.065,127830.47789287,198781.71,5231.09763157895,20.25,0.0539666215651887,0.526315789473684,FALSE
"TAX COMMISSION",2017,38,93292,104840.54,134073.713466629,187108.89,4923.91815789474,0,0.0444993062397851,0.5,FALSE
"TAX COMMISSION",2018,39,86392,101784.08,127891.834925656,138308.38,3546.36871794872,0,0.035982903594064,0.41025641025641,FALSE
"TAX COMMISSION",2019,43,98488,111344.62,137467.688706056,145072.79,3373.78581395349,0,0.0319687911796586,0.395348837209302,FALSE
"TAX COMMISSION",2020,45,107129,114496.61,138903.255275452,118053.11,2623.40244444444,0,0.024134166649196,0.422222222222222,FALSE
"TAX COMMISSION",2021,42,107129,120747.615,143524.460472043,192459.43,4582.36738095238,0,0.0400017937051964,0.428571428571429,FALSE
"TAX COMMISSION",2022,43,104119,109839.88,124285.824945608,161796.72,3762.71441860465,0,0.0331334890864153,0.488372093023256,FALSE
"TAX COMMISSION",2023,41,113774,129207.72,138856.331558629,148164.75,3613.7743902439,0,0.030602040800288,0.536585365853659,FALSE
"TAX COMMISSION",2024,37,117187,125053.25,129935.401055132,130150.51,3517.58135135135,0,0.0277709910587596,0.45945945945946,FALSE
"TAX COMMISSION",2025,36,120996,131557.565,131557.565,130074.64,3613.18444444444,0,0.0272510848433926,0.388888888888889,FALSE
"TAXI & LIMOUSINE COMMISSION",2014,470,39293.5,46929.01,61723.0697005214,1215513.18,2586.19825531915,25.25,0.0493579984806754,0.712765957446808,FALSE
"TAXI & LIMOUSINE COMMISSION",2015,533,40653,47038.41,61568.782205299,1205545.42,2261.8112945591,13.25,0.0429734285813823,0.73921200750469,FALSE
"TAXI & LIMOUSINE COMMISSION",2016,512,44920.5,50980.71,66345.8168930803,973814.81,1901.98205078125,11.375,0.0339865220158909,0.724609375,FALSE
"TAXI & LIMOUSINE COMMISSION",2017,508,44319,53336.39,68208.4227170556,931457.25,1833.57726377953,7,0.0310925513096107,0.60236220472441,FALSE
"TAXI & LIMOUSINE COMMISSION",2018,524,44453.5,52111.565,65478.2522836342,1067947.5,2038.06774809161,10.875,0.0360015394003696,0.610687022900763,FALSE
"TAXI & LIMOUSINE COMMISSION",2019,544,46189,53081.885,65535.6679389689,1348214.92,2478.33625,14,0.0444465087750806,0.658088235294118,FALSE
"TAXI & LIMOUSINE COMMISSION",2020,571,54100,56936.49,69073.3446602323,1148244.94,2010.93684763573,17.75,0.0328360391542265,0.67600700525394,FALSE
"TAXI & LIMOUSINE COMMISSION",2021,508,58014,61175.23,72714.8265413204,699979.6,1377.9125984252,0.25,0.0204787996652639,0.533464566929134,FALSE
"TAXI & LIMOUSINE COMMISSION",2022,474,58028,61388.525,69462.2342251202,413089.81,871.497489451477,2,0.0136857702432146,0.548523206751055,FALSE
"TAXI & LIMOUSINE COMMISSION",2023,412,62306,65381.58,70263.9621712004,685090.93,1662.8420631068,1.75,0.0234068862201825,0.575242718446602,FALSE
"TAXI & LIMOUSINE COMMISSION",2024,414,67558.5,72526.945,75358.4387921027,1261581.74,3047.29888888889,0,0.0378658742734806,0.516908212560386,FALSE
"TAXI & LIMOUSINE COMMISSION",2025,391,72200,73680.1,73680.1,1435577.89,3671.55470588235,0,0.0450444890429686,0.450127877237852,FALSE
"TEACHERS RETIREMENT SYSTEM",2014,376,59249,61956.225,81487.5147388829,186533.27,496.099122340426,0,0.00693567481814524,0.252659574468085,FALSE
"TEACHERS RETIREMENT SYSTEM",2015,369,62000,69286.3,90689.143500195,169663.52,459.792737127371,0,0.00572097527535041,0.373983739837398,FALSE
"TEACHERS RETIREMENT SYSTEM",2016,364,64636.5,67894.81,88357.6676796082,138787.9,381.285439560439,0,0.00480385359412491,0.181318681318681,FALSE
"TEACHERS RETIREMENT SYSTEM",2017,350,67427.5,73639.79,94173.1137993254,203519.64,581.484685714286,0,0.00679627793820368,0.211428571428571,FALSE
"TEACHERS RETIREMENT SYSTEM",2018,347,70543,74397.89,93481.0499510055,259000.17,746.398184438039,0,0.00885256420690878,0.181556195965418,FALSE
"TEACHERS RETIREMENT SYSTEM",2019,341,72839,78032.89,96340.5419260843,423951.69,1243.26008797654,0,0.013852003486446,0.269794721407625,FALSE
"TEACHERS RETIREMENT SYSTEM",2020,331,76600,83471.8,101265.04831629,408817.99,1235.09966767372,0,0.0133063082517941,0.277945619335347,FALSE
"TEACHERS RETIREMENT SYSTEM",2021,335,77771,83066.61,98735.617953958,179123.53,534.697104477612,0,0.00571938940698036,0.185074626865672,FALSE
"TEACHERS RETIREMENT SYSTEM",2022,335,77513,82425.1,93265.5020173388,181548.84,541.936835820895,0,0.00604692407760362,0.17910447761194,FALSE
"TEACHERS RETIREMENT SYSTEM",2023,344,81502,87380.55,93905.7095239774,94311.39,274.16101744186,0,0.00289042911514269,0.229651162790698,FALSE
"TEACHERS RETIREMENT SYSTEM",2024,359,87462,88269.6,91715.6961292577,73001.64,203.347186629527,0,0.00199875106273192,0.144846796657382,FALSE
